                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9336,                 1.5749,                 1.1364,                0.46888,                 0.4509,                0.41018,                0.27864,                0.85083,                 1.1223,                 1.0433,             0.00030224,             0.00030224,             0.00030224
                      2,                0.81751,                 1.1101,                 1.0562,                0.77552,                0.44419,                0.49231,                0.34125,                0.81753,                 0.9624,                 1.0223,             0.00059325,             0.00059325,             0.00059325
                      3,                0.81525,                 1.0699,                 1.0513,                0.54429,                 0.4516,                0.48579,                0.33262,                0.90564,                 1.2035,                 1.0741,             0.00087227,             0.00087227,             0.00087227
                      4,                0.77405,                0.94296,                   1.03,                0.71686,                0.65905,                0.62544,                0.45897,                0.77545,                0.77303,                0.99923,             0.00085501,             0.00085501,             0.00085501
                      5,                0.75168,                0.90168,                 1.0129,                0.49478,                 0.6013,                0.60378,                0.43822,                 0.7371,                0.75897,                0.97411,             0.00085501,             0.00085501,             0.00085501
                      6,                0.73651,                0.86079,                 1.0055,                0.58617,                0.70542,                 0.6574,                0.48399,                 0.7467,                0.69514,                0.97882,             0.00083701,             0.00083701,             0.00083701
                      7,                0.72886,                0.83542,                 1.0091,                0.67513,                0.55074,                0.65171,                0.45677,                0.71545,                 0.7972,                0.97064,             0.00081901,             0.00081901,             0.00081901
                      8,                 0.6978,                0.78357,                0.98454,                0.64538,                 0.6832,                 0.6926,                 0.5011,                0.73963,                0.71301,                 0.9899,             0.00080101,             0.00080101,             0.00080101
                      9,                0.69216,                0.76185,                0.97974,                0.69023,                0.59087,                0.60864,                0.45069,                0.70197,                0.69683,                 0.9504,             0.00078301,             0.00078301,             0.00078301
                     10,                0.69079,                0.75367,                0.98259,                 0.7517,                0.60973,                0.69814,                0.51599,                0.69524,                 0.6991,                0.93854,             0.00076501,             0.00076501,             0.00076501
                     11,                0.68033,                0.73155,                0.97556,                0.72146,                0.61551,                0.66051,                0.49965,                0.67239,                0.67292,                0.93251,             0.00074702,             0.00074702,             0.00074702
                     12,                0.66538,                0.69879,                0.97205,                0.67122,                0.65816,                0.69653,                0.53019,                0.67814,                0.60383,                0.92083,             0.00072902,             0.00072902,             0.00072902
                     13,                0.66724,                0.70283,                0.97017,                0.72694,                0.73803,                0.78964,                0.57338,                0.70864,                0.62562,                0.95678,             0.00071102,             0.00071102,             0.00071102
                     14,                0.65027,                0.68001,                0.95617,                0.74061,                0.77735,                0.80468,                0.61015,                0.66595,                0.57782,                0.94698,             0.00069302,             0.00069302,             0.00069302
                     15,                0.64903,                  0.669,                0.95941,                0.57139,                0.72955,                0.68618,                0.52126,                0.67522,                0.78202,                0.94798,             0.00067502,             0.00067502,             0.00067502
                     16,                0.62965,                0.64401,                0.95657,                0.80923,                0.78121,                0.82142,                0.63687,                0.63568,                0.53159,                0.90959,             0.00065703,             0.00065703,             0.00065703
                     17,                 0.6433,                  0.657,                0.95375,                 0.7405,                0.81211,                 0.7831,                0.59314,                0.65313,                0.55906,                0.91364,             0.00063903,             0.00063903,             0.00063903
                     18,                0.64777,                0.63856,                 0.9551,                0.67455,                0.81883,                0.81708,                0.62108,                 0.6435,                0.54687,                0.90601,             0.00062103,             0.00062103,             0.00062103
                     19,                0.62993,                0.63975,                0.94636,                0.84306,                0.71526,                0.81731,                0.62699,                0.65352,                0.54352,                0.93043,             0.00060303,             0.00060303,             0.00060303
                     20,                0.62229,                0.61678,                0.94245,                0.80883,                0.81684,                0.87049,                0.65503,                0.63489,                0.52065,                0.90158,             0.00058503,             0.00058503,             0.00058503
                     21,                0.62621,                0.61444,                0.94771,                0.72376,                0.73555,                0.77874,                0.58426,                0.65484,                0.60335,                0.92531,             0.00056703,             0.00056703,             0.00056703
                     22,                0.61201,                0.60377,                0.94366,                0.76815,                0.78735,                0.81362,                0.61342,                0.64769,                0.57313,                0.92054,             0.00054904,             0.00054904,             0.00054904
                     23,                0.61243,                0.60999,                0.94211,                0.76067,                0.83271,                0.85939,                0.66053,                0.62133,                0.51886,                0.88997,             0.00053104,             0.00053104,             0.00053104
                     24,                0.60544,                0.58511,                0.93532,                0.83633,                0.80669,                0.86273,                0.67015,                0.62146,                0.51046,                 0.9086,             0.00051304,             0.00051304,             0.00051304
                     25,                0.61076,                0.58508,                0.93807,                 0.7576,                0.81981,                0.81185,                0.62485,                0.64954,                0.55569,                0.93287,             0.00049504,             0.00049504,             0.00049504
                     26,                0.59949,                0.56822,                0.93338,                0.80421,                0.78845,                0.85168,                0.65696,                 0.6459,                0.55191,                0.92612,             0.00047704,             0.00047704,             0.00047704
                     27,                 0.5989,                0.57677,                 0.9303,                0.76209,                0.79565,                0.81865,                0.61288,                0.66769,                0.61267,                0.91935,             0.00045904,             0.00045904,             0.00045904
                     28,                0.58864,                0.55943,                0.93075,                0.90665,                0.79872,                0.88873,                0.69869,                0.61667,                0.48072,                0.89107,             0.00044105,             0.00044105,             0.00044105
                     29,                0.58129,                0.53514,                0.92514,                0.83104,                0.81226,                0.85184,                0.66682,                0.62142,                0.49966,                0.89013,             0.00042305,             0.00042305,             0.00042305
                     30,                0.58472,                 0.5573,                0.92747,                0.80914,                0.87062,                0.87441,                0.68403,                 0.6157,                0.49016,                0.89765,             0.00040505,             0.00040505,             0.00040505
                     31,                0.58174,                0.54098,                0.92816,                0.89307,                0.83936,                0.89265,                0.69699,                0.59858,                0.48174,                0.87306,             0.00038705,             0.00038705,             0.00038705
