                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89766,                  2.909,                 1.3221,                0.39478,                0.25217,                0.12583,                0.08836,                0.87691,                 6.9353,                 1.5733,             0.00019268,             0.00019268,             0.00019268
                      2,                0.57528,                  1.783,                  1.057,                0.27916,                0.46474,                 0.2733,                0.21381,                0.68344,                 4.2161,                 1.3159,             0.00038098,             0.00038098,             0.00038098
                      3,                0.57599,                 1.5789,                 1.0487,                0.47811,                0.34924,                0.27629,                0.22395,                0.74912,                 2.3863,                 1.4136,             0.00056152,             0.00056152,             0.00056152
                      4,                0.54544,                 1.4841,                 1.0406,                0.40299,                0.39629,                0.26793,                0.14679,                 1.1494,                 2.4396,                  1.758,             0.00055307,             0.00055307,             0.00055307
                      5,                0.50761,                 1.3607,                 1.0148,                0.23539,                0.37763,                0.24198,                0.20155,                0.55639,                 1.8299,                 1.1504,             0.00055307,             0.00055307,             0.00055307
                      6,                0.49586,                 1.3431,                 1.0053,                0.21425,                0.55632,                0.37281,                0.28771,                0.67311,                 2.0375,                 1.2872,             0.00054143,             0.00054143,             0.00054143
                      7,                0.46904,                 1.2652,                0.98919,                0.44225,                0.57054,                 0.4687,                 0.4054,                 0.4529,                 1.2979,                 1.1103,             0.00052979,             0.00052979,             0.00052979
                      8,                0.45904,                 1.1923,                0.98398,                 0.5912,                0.43557,                0.45522,                0.38595,                0.51956,                 1.2666,                  1.164,             0.00051815,             0.00051815,             0.00051815
                      9,                 0.4475,                 1.1618,                0.98044,                0.49788,                0.50095,                0.46135,                0.40226,                0.43586,                 1.1816,                 1.0766,              0.0005065,              0.0005065,              0.0005065
                     10,                0.42921,                 1.1314,                 0.9754,                0.41841,                0.59269,                0.49534,                0.44686,                0.45395,                 1.2696,                  1.069,             0.00049486,             0.00049486,             0.00049486
                     11,                0.41651,                 1.1426,                0.96493,                0.24925,                0.64266,                0.49543,                 0.4562,                0.40296,                  1.251,                  1.046,             0.00048322,             0.00048322,             0.00048322
                     12,                 0.4052,                 1.0651,                0.95124,                0.44615,                0.38824,                0.37743,                 0.3483,                0.40001,                 1.5513,                 1.0531,             0.00047158,             0.00047158,             0.00047158
                     13,                0.40477,                 1.0717,                0.95638,                0.51065,                0.58898,                0.51423,                0.47333,                0.35328,                   1.17,                0.99568,             0.00045993,             0.00045993,             0.00045993
                     14,                0.40659,                 1.0583,                0.96001,                0.84595,                0.38449,                0.53382,                0.49174,                0.33666,                 1.0194,                0.97692,             0.00044829,             0.00044829,             0.00044829
                     15,                 0.3839,                 1.0458,                0.94871,                0.40924,                0.58202,                0.55726,                0.50197,                0.44021,                 1.1802,                 1.0616,             0.00043665,             0.00043665,             0.00043665
