                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0609,                 4.2296,                 1.4425,                0.26072,                    0.4,                0.38647,                0.24343,                  1.348,                 2.4215,                 1.1972,             0.00032941,             0.00032941,             0.00032941
                      2,                 1.5756,                 1.7294,                  1.224,                0.44657,                0.60606,                 0.4035,                 0.2572,                 1.2589,                 1.0254,                 1.1534,             0.00064962,             0.00064962,             0.00064962
                      3,                 1.5401,                 1.4533,                 1.2024,                0.22896,                0.50614,                0.33827,                0.22163,                 1.2768,                 1.3807,                 1.1744,             0.00095663,             0.00095663,             0.00095663
                      4,                 1.4079,                 1.2864,                 1.1407,                0.60398,                0.47219,                0.43455,                0.26365,                 1.2487,                 1.0755,                  1.148,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.3386,                 1.2445,                 1.1266,                0.43758,                0.75556,                0.59153,                0.37969,                 1.2403,                 1.0314,                 1.1306,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.3455,                 1.1504,                  1.124,                0.33248,                0.86559,                0.53031,                0.34137,                 1.2678,                0.90857,                 1.1469,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.3011,                 1.0862,                 1.0963,                0.30295,                0.77677,                0.55139,                0.35769,                  1.243,                0.85613,                 1.1395,               0.000901,               0.000901,               0.000901
                      8,                 1.3164,                0.95885,                 1.0786,                0.51117,                0.64394,                  0.547,                0.32532,                 1.2863,                0.88447,                 1.1457,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.3294,                0.97255,                 1.0888,                0.49572,                0.90152,                 0.5715,                0.35395,                 1.2744,                0.79502,                 1.1301,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.2533,                0.90118,                 1.0795,                 0.3949,                0.91667,                0.60186,                 0.4022,                 1.2824,                0.79009,                 1.1385,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.3147,                0.96721,                 1.0965,                0.47465,                0.91414,                0.59322,                0.37176,                 1.2275,                0.82015,                 1.1187,              0.0008218,              0.0008218,              0.0008218
                     12,                 1.2425,                0.87133,                 1.0625,                0.39242,                0.65282,                0.58413,                0.39778,                  1.194,                0.73904,                 1.1036,               0.000802,               0.000802,               0.000802
                     13,                 1.2592,                 0.9304,                 1.0698,                0.37934,                 0.8591,                0.58314,                 0.4031,                 1.1729,                0.89026,                 1.1007,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.2628,                0.95805,                 1.0672,                  0.484,                0.80152,                0.54198,                0.34695,                 1.2544,                0.76042,                 1.1352,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.2169,                0.88794,                  1.056,                0.42512,                0.71609,                0.67058,                 0.4412,                 1.2096,                0.73996,                 1.1029,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.2153,                0.87217,                 1.0763,                 0.4926,                0.59745,                0.63043,                0.45576,                 1.1334,                0.74474,                 1.0749,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.1888,                0.81208,                 1.0529,                0.58149,                0.70111,                0.67268,                0.46085,                 1.1272,                0.71094,                 1.0815,               0.000703,               0.000703,               0.000703
                     18,                 1.2297,                0.79053,                 1.0622,                0.46496,                 0.8555,                 0.6518,                0.44584,                 1.1466,                0.69763,                 1.0876,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.2313,                0.84488,                  1.051,                 0.5146,                0.83535,                0.69778,                0.49279,                 1.1489,                0.74547,                 1.0868,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.1764,                0.79702,                 1.0516,                0.48778,                0.78965,                0.65209,                0.47049,                 1.1688,                 0.6827,                 1.1002,              0.0006436,              0.0006436,              0.0006436
                     21,                  1.163,                0.82898,                 1.0454,                0.55481,                0.89274,                0.74885,                0.50539,                 1.1512,                0.66747,                 1.0956,              0.0006238,              0.0006238,              0.0006238
                     22,                 1.1955,                0.77617,                 1.0308,                0.52999,                 0.9705,                0.75081,                0.49535,                 1.1907,                  0.647,                 1.0988,               0.000604,               0.000604,               0.000604
                     23,                 1.1675,                0.73687,                 1.0429,                0.54407,                0.90859,                0.74687,                0.48521,                 1.1873,                 0.6519,                 1.1084,              0.0005842,              0.0005842,              0.0005842
                     24,                 1.1925,                0.73549,                 1.0459,                 0.5801,                0.90591,                0.78272,                0.52832,                 1.1436,                0.60884,                 1.0696,              0.0005644,              0.0005644,              0.0005644
                     25,                 1.1504,                0.72345,                 1.0397,                  0.579,                  0.851,                0.76582,                 0.5386,                 1.1305,                 0.6413,                 1.0732,              0.0005446,              0.0005446,              0.0005446
                     26,                 1.1191,                0.69086,                 1.0321,                0.57385,                0.86818,                0.73774,                0.51788,                 1.2082,                0.66249,                 1.1355,              0.0005248,              0.0005248,              0.0005248
                     27,                 1.1298,                0.70673,                 1.0377,                0.66955,                  0.735,                0.79109,                0.55508,                 1.0916,                0.62738,                 1.0721,               0.000505,               0.000505,               0.000505
                     28,                 1.1289,                0.69026,                 1.0163,                0.51926,                0.94529,                0.81046,                0.54669,                 1.1548,                0.64592,                 1.0927,              0.0004852,              0.0004852,              0.0004852
                     29,                 1.1373,                0.68222,                 1.0194,                0.59254,                 0.8324,                0.77007,                0.54081,                 1.1551,                0.62467,                  1.088,              0.0004654,              0.0004654,              0.0004654
                     30,                 1.1128,                0.68458,                 1.0209,                0.65998,                0.95455,                0.82302,                0.58659,                 1.1488,                0.61845,                 1.1001,              0.0004456,              0.0004456,              0.0004456
                     31,                 1.0951,                0.68013,                 1.0186,                0.72151,                0.82225,                 0.8241,                0.58827,                 1.1405,                0.56982,                 1.0804,              0.0004258,              0.0004258,              0.0004258
