                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1961,                 3.5819,                 1.8533,                0.66918,                 0.6261,                0.64363,                0.31527,                 1.6901,                 6.0171,                 1.5084,             0.00054609,             0.00054609,             0.00054609
                      2,                 1.6564,                 2.0157,                 1.3971,                0.03854,                0.21667,                0.02577,                0.01364,                  2.007,                 24.139,                 1.7049,              0.0010799,              0.0010799,              0.0010799
                      3,                 1.5676,                 2.0708,                 1.4154,                0.01999,                0.76905,                0.01921,                0.00968,                 1.6904,                 1563.3,                 1.6797,              0.0015918,              0.0015918,              0.0015918
                      4,                 1.6957,                 1.7763,                 1.4655,                0.12336,                 0.4619,                0.08261,                0.04205,                 1.7011,                 45.931,                 1.5453,               0.001568,               0.001568,               0.001568
                      5,                 1.5954,                 1.2017,                 1.3068,                0.86473,                0.79092,                0.89126,                 0.5382,                 1.3995,                 1.0002,                 1.2942,               0.001568,               0.001568,               0.001568
                      6,                 1.5524,                 1.2868,                 1.3184,                0.75691,                0.83588,                0.88092,                0.52694,                 1.3775,                 1.1297,                 1.2807,               0.001535,               0.001535,               0.001535
                      7,                 1.4395,                 1.2184,                 1.2871,                0.92793,                0.85998,                  0.946,                0.56755,                 1.4584,                0.85494,                 1.3087,               0.001502,               0.001502,               0.001502
                      8,                 1.4335,                 1.1186,                 1.2806,                0.89578,                0.90188,                0.96937,                0.60153,                 1.2732,                 0.8699,                 1.2184,               0.001469,               0.001469,               0.001469
                      9,                 1.4332,                 1.0259,                 1.2957,                0.93206,                0.95358,                0.97753,                0.63045,                 1.1932,                0.81871,                 1.1671,               0.001436,               0.001436,               0.001436
                     10,                 1.3677,                 0.9536,                 1.2296,                0.91223,                0.92857,                0.94351,                0.57051,                 1.2565,                0.73239,                 1.2288,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.4448,                0.95269,                  1.293,                 0.6488,                0.53655,                0.56315,                0.26154,                 1.9296,                 1.5276,                 1.7338,              0.0013699,              0.0013699,              0.0013699
